"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"NeuralSens","NeuralSens","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2.1",NA,NA,"ggplot2, gridExtra, NeuralNetTools, reshape2, caret,
fastDummies, stringr, Hmisc, ggforce, scales, ggnewscale",NA,"h2o, neural, RSNNS, nnet, neuralnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"NHANES","NHANES","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.1.0",NA,"R (>= 3.0)",NA,NA,"mosaic",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"nleqslv","nleqslv","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.3.2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"nlme","nlme","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.1-149","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.0.2"
"nloptr","nloptr","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.2.2.2",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.0.2"
"NLP","NLP","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2-0",NA,"R (>= 3.2.0)","utils",NA,NA,"udpipe, spacyr, cleanNLP","GPL-3",NA,NA,NA,NA,"no","4.0.0"
"nnet","nnet","C:/Users/John Karuitha/Documents/R/win-library/4.0","7.3-14","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"nonnest2","nonnest2","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5-5",NA,"R (>= 3.0.0)","CompQuadForm, mvtnorm, lavaan (>= 0.6-6), sandwich",NA,"mirt (>= 1.26.3), AER, MASS, faraway, mlogit, ordinal, pscl,
knitr, rmarkdown, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"nortest","nortest","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0-4",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"np","np","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.60-10",NA,NA,"boot, cubature, methods, quadprog, quantreg, stats",NA,"MASS",NA,"GPL",NA,NA,NA,NA,"yes","4.0.2"
"nse","nse","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.19",NA,NA,"Rcpp (>= 0.12.0), coda, mcmc, mcmcse, np, sandwich","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"numDeriv","numDeriv","C:/Users/John Karuitha/Documents/R/win-library/4.0","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"nycflights13","nycflights13","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0.1",NA,"R (>= 3.2)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","4.0.0"
"officer","officer","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3.14",NA,NA,"R6, grDevices, zip (>= 2.1.0), uuid,stats, magrittr,utils,
xml2 (>= 1.1.0), graphics",NA,"testthat, devEMF,tibble,ggplot2, rmarkdown, base64enc, knitr,
rsvg",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"openintro","openintro","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.0.0",NA,"R (>= 2.10), airports, cherryblossom, usdata","ggplot2 (>= 2.2.1), graphics, rmarkdown, tibble",NA,"broom, dplyr, forcats, lubridate, tidyr, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"openssl","openssl","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.4.3",NA,NA,"askpass",NA,"testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"openxlsx","openxlsx","C:/Users/John Karuitha/Documents/R/win-library/4.0","4.2.2",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, utils, zip, stringi","Rcpp","knitr, testthat, roxygen2, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"operator.tools","operator.tools","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.6.3",NA,NA,"utils (>= 3.3.2)",NA,"operators (>= 0.1.8), magrittr (>= 1.5), testthat (>= 1.0.2)",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"optimx","optimx","C:/Users/John Karuitha/Documents/R/win-library/4.0","2020-4.2",NA,NA,"numDeriv",NA,"knitr, rmarkdown, setRNG, BB, ucminf, minqa, dfoptim,
lbfgsb3c, lbfgs, subplex",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"ordinal","ordinal","C:/Users/John Karuitha/Documents/R/win-library/4.0","2019.12-10",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"OrthoPanels","OrthoPanels","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.1-3",NA,"R (>= 3.1.0)","MASS",NA,"testthat, knitr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"oysteR","oysteR","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.0.3",NA,"R (>= 3.5.0)","cli, dplyr, glue, httr, purrr, rjson, tibble, tidyr, utils",NA,"httptest, knitr, rmarkdown, testthat (>= 2.1.0)",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"packrat","packrat","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5.0",NA,"R (>= 3.0.0)","tools, utils",NA,"testthat (>= 0.7), devtools, httr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"pacman","pacman","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5.1",NA,"R (>= 3.5.0)","remotes, methods, stats, utils",NA,"BiocManager, knitr, lattice, testthat (>= 0.9.0), XML",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"padr","padr","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5.3",NA,"R (>= 3.0.0)","Rcpp, dplyr (>= 0.6.0), lubridate, rlang","Rcpp","ggplot2, testthat, knitr, rmarkdown, lazyeval, tidyr,
data.table",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"pagedown","pagedown","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.11",NA,NA,"rmarkdown (>= 1.16), bookdown (>= 0.8), htmltools, jsonlite,
later (>= 1.0.0), processx, servr (>= 0.18), httpuv, xfun,
websocket",NA,"promises, testit, xaringan, pdftools, revealjs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"pairwise","pairwise","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.4.5-1",NA,"R (>= 2.10.1)","graphics, stats, methods",NA,"psych",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"pairwiseCI","pairwiseCI","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1-27",NA,"MCPAN, coin(>= 1.3-0)","graphics, stats, boot, MASS, mcprofile",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"pairwiseComparisons","pairwiseComparisons","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.0.1",NA,"R (>= 3.6.0)","broomExtra, dplyr, dunn.test, forcats, ipmisc, PMCMRplus,
purrr, rlang, stats, tidyBF (>= 0.2.1), tidyr, utils, WRS2",NA,"knitr, rmarkdown, spelling, testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"paletteer","paletteer","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.2.0",NA,"R (>= 2.10)","prismatic, rematch2, rlang, rstudioapi",NA,"covr, gameofthrones (>= 1.0.0), ggplot2 (>= 3.3.0), ggthemes
(>= 4.0.0), harrypotter (>= 2.1.0), knitr, oompaBase, palr,
pals, rmarkdown, scico, testthat (>= 2.1.0), vdiffr,
viridisLite",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"palmerpenguins","palmerpenguins","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.0",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, tibble, ggplot2, dplyr, tidyr, recipes",NA,"CC0",NA,NA,NA,NA,"no","4.0.2"
"pampe","pampe","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.1.2",NA,"leaps",NA,NA,NA,"xtable","GPL-2",NA,NA,NA,NA,"no","4.0.2"
"pamr","pamr","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.56.1",NA,"R (>= 2.10), cluster, survival",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"pander","pander","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.6.3",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en,
futile.logger, survival, microbenchmark, zoo, nlme, descr,
MASS, knitr, rmarkdown, tables, reshape, memisc, Epi,
randomForest, tseries, gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"pandocfilters","pandocfilters","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1-4",NA,"R (>= 3.0.0)","jsonlite, utils",NA,"knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"panelAR","panelAR","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1",NA,"R (>= 2.15.0)","car",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"Paneldata","Paneldata","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0",NA,NA,NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.0"
"panelvar","panelvar","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5.2",NA,"R (>= 3.4)","knitr, MASS, Matrix (>= 1.2-11), progress, matrixcalc, texreg,
ggplot2, reshape2, methods",NA,"rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"papeR","papeR","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0-4",NA,"car, xtable","utils, gmodels, graphics, stats",NA,"nlme, knitr, rmarkdown, testthat (>= 0.10.0), foreign","lme4, survival","GPL-2",NA,NA,NA,NA,"no","4.0.2"
"parallelDist","parallelDist","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2.4",NA,"R (>= 3.0.2)","Rcpp (>= 0.12.6), RcppParallel (>= 4.3.20)","Rcpp, RcppParallel, RcppArmadillo","dtw, ggplot2, proxy, testthat, RcppArmadillo, RcppXPtrUtils",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"ParallelLogger","ParallelLogger","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.0.0",NA,"R (>= 3.1.0)","snow, XML, jsonlite, methods, utils",NA,"mailR, testthat, shiny, DT, knitr, rmarkdown",NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.0.2"
"parallelMap","parallelMap","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.5.0",NA,"R (>= 3.0.0)","BBmisc (>= 1.8), checkmate (>= 1.8.0), parallel, stats, utils",NA,"BatchJobs (>= 1.8), batchtools (>= 0.9.6), data.table, Rmpi,
rpart, snow, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"parallelML","parallelML","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.2",NA,"R (>= 2.14.0)","parallel (>= 3.1.1), foreach (>= 1.2.0), doParallel (>= 1.0.8)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"ParallelPC","ParallelPC","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.2",NA,NA,"methods",NA,"bnlearn, pcalg, parallel, Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"parallelSVM","parallelSVM","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1-9",NA,"R (>= 2.14.0), e1071 (>= 1.6-3)","parallel (>= 3.1.1), foreach (>= 1.2.0), doParallel (>= 1.0.8)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"ParallelTree","ParallelTree","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.3",NA,NA,"stats, ggplot2",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"parameters","parameters","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.8.5",NA,"R (>= 3.2)","bayestestR (>= 0.7.0), insight (>= 0.8.1), methods, stats,
tools, utils",NA,"AER, aod, BayesFactor, BayesFM, bbmle, betareg, boot, brglm2,
brms, cAIC4, car, clubSandwich, cluster, covr, cplm, dplyr,
DRR, effectsize (>= 0.3.0), EGAnet (>= 0.7), FactoMineR,
fastICA, gamlss, gee, geepack, ggplot2, GLMMadaptive, glmmTMB,
GPArotation, lavaan, lavaSearch2, lfe, lme4, lmerTest,
logspline, knitr, MASS, Matrix, mclust, MCMCglmm, metafor,
mice, mfx, mgcv, multcomp, multimode, MuMIn, M3C, NbClust,
nFactors, nlme, performance, plm, projpred, pscl, psych,
quantreg, randomForest, rmarkdown, rstanarm, sandwich, see,
sjstats, spelling, survey, survival, testthat, TMB, tripack,
truncreg, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"ParamHelpers","ParamHelpers","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.14",NA,NA,"backports, BBmisc (>= 1.10), checkmate (>= 1.8.2), fastmatch,
methods",NA,"akima, covr, eaf, emoa, GGally, ggplot2, grid, gridExtra,
irace (>= 2.1), lhs, plyr, reshape2, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"parsedate","parsedate","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.2.0",NA,NA,"rematch2",NA,"covr, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"parsnip","parsnip","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.3",NA,"R (>= 2.10)","dplyr (>= 0.8.0.1), rlang (>= 0.3.1), purrr, utils, tibble (>=
2.1.1), generics, glue, magrittr, stats, tidyr (>= 1.0.0),
globals, prettyunits, vctrs (>= 0.2.0)",NA,"testthat, knitr, rmarkdown, survival, keras, xgboost, covr,
C50, sparklyr (>= 1.0.0), earth, kernlab, kknn, randomForest,
ranger, rpart, MASS, nlme, modeldata, liquidSVM",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"partitions","partitions","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.9-22",NA,"R (>= 3.6.0)","gmp, polynom, sets",NA,"spray,testthat",NA,"GPL",NA,NA,NA,NA,"yes","4.0.2"
"party","party","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.3-5",NA,"R (>= 3.0.0), methods, grid, stats, mvtnorm (>= 1.0-2),
modeltools (>= 0.2-21), strucchange","survival (>= 2.37-7), coin (>= 1.1-0), zoo, sandwich (>=
1.1-1)","mvtnorm","TH.data (>= 1.0-3), mlbench, colorspace, MASS, vcd, ipred,
varImp",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"partykit","partykit","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.2-9",NA,"R (>= 3.5.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)",NA,"XML, pmml, rJava, sandwich, strucchange, vcd, AER, mlbench,
TH.data (>= 1.0-3), coin (>= 1.1-0), RWeka (>= 0.4-19),
datasets, parallel, psychotools (>= 0.3-0), psychotree, party
(>= 1.3-0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"patchwork","patchwork","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0.1",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"paws","paws","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.9",NA,NA,"paws.compute (>= 0.1.9), paws.storage (>= 0.1.9),
paws.database (>= 0.1.9), paws.networking (>= 0.1.9),
paws.management (>= 0.1.9), paws.machine.learning (>= 0.1.9),
paws.analytics (>= 0.1.9), paws.security.identity (>= 0.1.9),
paws.application.integration (>= 0.1.9), paws.cost.management
(>= 0.1.9), paws.customer.engagement (>= 0.1.9)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"paws.analytics","paws.analytics","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.9",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"paws.application.integration","paws.application.integration","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.9",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"paws.common","paws.common","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3.4",NA,NA,"base64enc, digest, httr, ini, jsonlite, methods, utils, xml2",NA,"covr, testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"paws.compute","paws.compute","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.9",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"paws.cost.management","paws.cost.management","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.9",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"paws.customer.engagement","paws.customer.engagement","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.9",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"paws.database","paws.database","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.9",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"paws.machine.learning","paws.machine.learning","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.9",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"paws.management","paws.management","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.9",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"paws.networking","paws.networking","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.9",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"paws.security.identity","paws.security.identity","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.9",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"paws.storage","paws.storage","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.9",NA,NA,"paws.common (>= 0.3.0)",NA,"testthat",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.2"
"pbapply","pbapply","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.4-3",NA,"R (>= 3.2.0)","parallel",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"pbivnorm","pbivnorm","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"pbkrtest","pbkrtest","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.4-8.6",NA,"R (>= 3.6.0), lme4 (>= 1.1.10)","Matrix (>= 1.2.3), parallel, magrittr, MASS, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"pcaPP","pcaPP","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.9-73",NA,NA,"mvtnorm",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.0"
"pco","pco","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0.1",NA,"stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"pcse","pcse","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.9.1.1",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"pdftools","pdftools","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.3.1",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","jpeg, png, webp, tesseract, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"pdR","pdR","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.7",NA,"plm, tcltk","boot, car, coefplot, lmtest, sandwich, papeR",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"performance","performance","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5.0",NA,"R (>= 3.2)","insight (>= 0.8.1), bayestestR (>= 0.5.0), stats, utils",NA,"AER, betareg, bigutilsr, brms, covr, cplm, dbscan, fixest,
forecast, ggplot2, gridExtra, glmmTMB, ICS, ICSOutlier, lavaan,
lme4, loo, Matrix, MASS, metafor, mlogit, nlme, ordinal,
parallel, parameters, pscl, psych, randomForest, rmarkdown,
rstanarm, rstantools, see, survey, survival, testthat, tweedie,
VGAM, spelling",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"PerformanceAnalytics","PerformanceAnalytics","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.0.4",NA,"R (>= 3.5.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, tinytest, ggplot2, RColorBrewer,
googleVis, plotly, gridExtra, ggpubr, RPESE, R.rsp, RobStatTM",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"performanceEstimation","performanceEstimation","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.1.0",NA,"R(>= 3.0), methods","ggplot2 (>= 0.9.3), parallelMap (>= 1.3), parallel, tidyr (>=
0.4.1), dplyr (>= 0.4.3)",NA,"knitr, rmarkdown, devtools, e1071, DMwR, randomForest,
quantmod, nnet, mlbench, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"periscope","periscope","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5.1",NA,"R (>= 3.4)","shiny (>= 1.1), shinydashboard (>= 0.5), shinydashboardPlus
(>= 0.5), shinyBS (>= 0.61), lubridate (>= 1.6), DT (>= 0.2),
openxlsx (>= 3.0), ggplot2 (>= 2.2), methods",NA,"knitr, rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"perry","perry","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2.0",NA,"R (>= 2.14.1), ggplot2 (>= 0.9.2), parallel, robustbase","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"pglm","pglm","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2-2",NA,"R (>= 2.10), maxLik, plm","statmod, Formula",NA,"lmtest, car",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"phia","phia","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2-1",NA,"car, graphics, stats","Matrix, grDevices, methods, utils",NA,"nlme, lme4",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"pillar","pillar","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.4.6",NA,NA,"cli, crayon (>= 1.3.4), ellipsis, fansi, lifecycle, rlang (>=
0.3.0), utf8 (>= 1.1.0), vctrs (>= 0.2.0)",NA,"bit64, knitr, lubridate, testthat (>= 2.0.0), withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"pingr","pingr","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.0.1",NA,NA,"processx, utils",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"pins","pins","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.4.3",NA,"R (>= 3.2.0)","backports, base64enc, crayon, digest, filelock, httr,
jsonlite, magrittr, mime, openssl, rappdirs, withr, yaml, zip",NA,"callr, covr, data.table, knitr, rmarkdown, R6, stringi,
tibble, testthat, xml2",NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.0.2"
"pkgbuild","pkgbuild","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.1.0",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, cpp11, testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"pkgconfig","pkgconfig","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"pkgload","pkgload","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.1.0",NA,NA,"cli, crayon, desc, methods, pkgbuild, rlang, rprojroot,
rstudioapi, utils, withr",NA,"bitops, covr, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"plm","plm","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.2-4",NA,"R (>= 3.1.0)","MASS, bdsmatrix, zoo, nlme, sandwich, lattice, lmtest, maxLik,
Rdpack, Formula, stats",NA,"AER, car, pcse, clusterSEs, pglm, spdep, splm, statmod, urca,
Ecdat, pder, stargazer, texreg, foreign, knitr, rmarkdown,
bookdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"plogr","plogr","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
